idRestaurant, desviacioEstMostral
1,5.241532779766379
2,5.469798023031174
3,5.460940614814239
4,5.646353223366114
5,5.414371018342897
6,5.465291828326715
7,5.481125737163862
8,5.435989300217419
9,5.375667608602185
10,5.495695184251828
11,5.5879626952919725
12,5.474730386239558
13,5.671705291747846
14,5.492814217659227
15,5.701841202595459
16,6.019343231796282
17,5.385697276710495
18,5.317598328827031
19,5.330947052160054
20,5.326919042732991
21,5.863489038102587
22,5.4431974147699735
23,5.320625564456928
24,5.470884144318701
25,5.350581272840363
26,5.498611650274693
27,6.121812908701797
28,5.512002865326273
29,5.920933939778788
30,5.337097764489701
31,5.637842931637898
32,6.002744912380325
33,5.544992806700544
34,5.371143508964324
35,5.881920721458309
36,5.897828922770641
37,5.602475655612585
38,5.408821596736957
39,5.358124509125118
40,5.34457529917012
41,5.364343429537457
42,5.470909528803279
43,5.448913267246816
44,5.816692557484354
45,5.353223633720658
46,5.383116682091963
47,5.38837503999849
48,5.469765348776158
49,5.6746966632283415
50,5.991826398721103
